trip_distance,rate_code,store_and_fwd_flag,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount,trip_duration,calculated_total_amount,speed,is_top_pickup,is_top_dropoff,is_popular_route,is_peak_month,is_peak_day,is_peak_hour
9.01,1,0,1,26.0,0.0,0.5,8.14,5.76,40.7,0.5919444444444445,24.3,15.221022993899576,0,1,0,1,0,1
0.2,1,0,1,3.0,0.0,0.5,0.75,0.0,4.55,0.6602777777777777,37.4,0.3029028186790072,0,1,0,1,1,1
9.65,1,0,1,41.5,0.0,0.5,9.61,5.76,57.67,0.3572222222222222,30.36,27.013996889580095,1,1,1,0,0,0
9.5,1,0,1,30.0,0.5,0.5,9.25,5.76,46.31,0.7183333333333334,4.3,13.22505800464037,1,1,0,1,1,0
5.8,1,0,1,21.5,0.5,0.5,4.56,0.0,27.36,0.4375,23.8,13.257142857142856,1,0,0,0,0,1
12.65,1,0,1,41.5,0.0,0.5,0.02,5.76,48.08,0.5636111111111111,30.95,22.444553967471663,1,0,0,0,0,1
8.92,1,0,1,27.0,0.0,0.5,6.71,5.76,40.27,0.5955555555555555,46.85999999999999,14.977611940298509,0,1,0,1,0,1
5.98,1,0,1,22.0,0.5,0.5,5.82,0.0,29.12,0.25527777777777777,45.95,23.42546245919478,0,0,0,0,1,0
12.3,1,0,1,38.0,0.5,0.5,9.8,0.0,49.1,0.4855555555555556,28.8,25.331807780320368,1,0,0,0,0,0
11.92,1,0,1,34.5,0.5,0.5,0.0,0.0,35.8,0.4627777777777778,48.67,25.75750300120048,0,0,0,1,1,0
14.12,1,0,1,40.0,0.0,0.5,0.0,0.0,40.8,0.4572222222222222,37.25,30.88213851761847,1,0,0,0,1,0
9.13,1,0,1,29.0,0.0,0.5,4.0,0.0,33.8,0.36,62.15,25.361111111111114,0,1,0,1,0,1
3.5,1,0,1,25.0,0.0,0.5,5.15,0.0,30.95,0.3902777777777778,41.46999999999999,8.96797153024911,0,0,0,0,0,1
11.9,1,0,1,44.0,0.0,0.5,10.1,5.76,60.66,0.61,32.16,19.508196721311478,1,0,0,1,1,0
12.6,1,0,1,38.5,0.5,0.5,4.0,0.0,43.8,0.5005555555555555,71.46000000000001,25.172031076581575,0,0,0,1,1,0
8.51,1,0,1,30.5,0.0,0.5,7.41,5.76,44.47,0.018055555555555554,38.16,471.32307692307694,1,0,0,1,1,1
4.25,1,0,1,22.5,1.0,0.5,4.86,0.0,29.16,0.5677777777777778,23.3,7.4853228962818,1,0,0,0,0,1
11.1,1,0,0,35.5,0.0,0.5,0.0,2.64,38.94,0.009722222222222222,132.84,1141.7142857142856,0,0,0,0,0,0
7.6,1,0,1,23.5,1.0,0.5,6.3,0.0,31.6,0.5122222222222222,60.06,14.837310195227765,1,0,0,1,1,0
3.4,1,0,1,46.0,0.0,0.5,9.36,0.0,56.16,0.48194444444444445,23.3,7.054755043227665,1,0,0,1,1,1
9.3,1,0,1,30.5,0.0,0.5,4.7,0.0,36.0,0.42777777777777776,47.46,21.74025974025974,0,0,0,0,1,1
11.08,1,0,1,32.5,1.0,0.5,8.01,5.76,48.07,0.34805555555555556,40.55,31.833998403830805,1,0,1,1,0,0
